KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,location
2166.768,0,0,440.618,440.618,0,0,273.242,144.445,0,0,37.421,74.666,325.081,66.117,66.117,0,0,0,0,0,0,0,0,0,266.134,1
56.287,263.477,452.221,230.045,149.738,80.308,52.568,19.435,15.756,1.585,16.354,13.115,57.805,39.23,11.321,17.207,0,0,0,17.282,0,0,0,0,0,85.038,3
0,1494.834,0,600.154,600.154,0,0,76.602,204.756,155.576,0,92.147,1071.571,676.984,188.304,109.552,146.639,96.966,0,530.772,0,0,0,0,0,1333.396,1
0,2060.993,0,746.441,746.441,0,443.115,354.6,269.425,83.91,1066.98,180.741,1727.657,894.529,309.728,52.108,257.036,122.627,0,457.244,0,248.862,0,0,0,1263.435,1
2767.779,1549.067,0,270.445,270.445,0,293.457,364.786,80.188,82.207,837.234,0,855.185,998.784,236.462,78.918,209.971,72.801,0,66.586,1520.49,933.706,0,0,0,1864.651,1
2816.469,601.965,6720.724,1171.913,801.757,370.156,543.074,163.249,249.29,228.596,2314.778,221.049,1397.966,1247.417,178.413,281.671,263.48,0,0,17.348,0,0,0,0,0,1249.917,1
4212.97,635.858,4189.492,557.671,490.114,67.557,842.714,309.894,177.199,158.724,1609.012,188.667,196.741,317.995,191.524,0,59.857,25.926,0,17.771,0,0,0,0,0,959.507,3
269.472,1120.873,1357.865,684.554,684.554,0,283.164,0,48.447,23.551,304.755,0,1005.574,167.269,101.299,15.667,155.7,67.122,0,122.848,301.985,163.006,0,0,0,860.756,3
0,2006.977,0,599.878,599.878,0,526.948,203.435,122.287,67.067,0,0,3854.659,73.702,33.656,15.678,668.121,115.625,0,312.48,1152.267,0,0,0,0,2087.392,1
641.121,665.908,0,240.982,240.982,0,0,54.266,104.603,15.915,184.498,0,42.128,369.343,200.312,0,0,28.955,0,0,0,0,0,0,0,1369.361,1
0,2763.758,0,1700.673,716.19,491.675,0,206.049,256.564,111.803,1770.687,69.723,2845.459,532.044,141.312,18.043,1659.234,209.692,0,0,0,1192.523,0,0,0,18030.726,1
0,332.701,0,311.469,270.185,41.284,0,0,56.869,28.387,293.78,0,604.038,358.968,50.996,81.677,104.54,15.978,0,99.024,156.175,0,0,0,0,753.726,1
0,1011.796,0,589.522,589.522,0,0,0,66.64,79.392,0,31.21,774.896,672.985,224.298,52.426,27.251,52.161,0,40.917,0,0,0,0,0,934.281,1
5937.154,208.295,2853.276,826.774,826.774,0,0,302.418,94.891,142.178,1586.705,243.282,1108.566,580.107,165.384,110.344,100.077,9.424,0,41.763,0,126.478,0,0,0,437.503,2
0,3348.075,0,615.771,615.771,0,0,0,156.651,26.884,546.047,101.113,403.869,644.197,47.291,61.709,233.214,162.893,0,1483.972,0,0,0,0,0,1762.637,1
0,864.473,0,630.691,630.691,0,0,68.907,48.736,30.504,345.853,34.301,1372.078,493.949,228.433,69.938,202.82,40.632,0,0,0,0,0,0,0,485.189,1
0,0,0,678.376,678.376,0,429.515,152.134,233.75,70.605,719.034,0,431.564,598.56,426.816,97.16,183.59,0,0,16.77,0,253.814,0,0,0,673.171,1
3961.26,1788.447,0,597.957,269.601,328.355,0,0,69.256,31.835,0,37.458,2897.939,402.914,170.946,76.789,857.488,112.355,0,157.258,0,0,0,0,0,838.827,1
0,7861.973,3473.906,887.794,887.794,0,266.892,51.89,40.471,16.975,0,0,2992.338,1638.872,369.797,359.721,0,371.736,0,619.158,0,0,0,0,0,7407.338,1
0,2617.735,2783.655,269.101,269.101,0,0,0,59.207,37.607,481.833,0,308.951,659.946,134.084,254.287,0,0,0,0,0,0,0,0,0,342.88,1
0,0,0,1417.253,968.457,448.796,0,0,76.136,30.509,619.669,176.934,446.544,1175.884,339.548,214.78,177.85,0,0,0,0,0,0,0,0,1710.986,1
2044.116,127.74,4303.186,522.406,522.406,0,0,232.651,196.821,0,0,0,1171.609,513.192,146.728,0,0,0,0,0,0,0,0,0,0,594.278,1
0,3502.261,0,1363.233,466.409,896.824,0,252.426,308.611,284.416,3599.574,160.995,2135.746,1039.237,227.142,52.996,669.672,232.212,0,791.382,0,592.561,0,0,0,980.086,2
1746.828,1942.457,1076.937,217.118,217.118,0,0,105.331,98.472,46.854,480.257,0,605.864,528.749,84.06,0,25.429,94.62,0,374.084,0,0,0,0,0,822.257,1
0,1327.173,0,960.765,522.704,438.061,0,17.066,70.257,79.436,1009.876,63.837,1182.571,656.327,160.583,52.808,980.819,95.598,0,679.604,539.73,289.599,0,0,0,430.464,2
0,1065.998,0,675.63,675.63,0,0,0,39.407,0,0,38.579,556.719,736.215,465.03,0,88.315,47.462,0,0,0,0,0,0,0,457.674,1
0,2464.863,0,881.303,563.224,318.08,0,244.765,70.804,54.019,688.581,129.722,1626.026,795.643,228.097,317.549,417.982,174.373,0,384.169,769.857,529.541,0,0,0,14526.964,1
4917.077,1822.337,3425.151,539.418,539.418,0,296.387,161.991,29.717,63.824,651.526,95.118,1076.783,689.421,225.232,14.981,83.979,86.993,0,317.224,0,0,0,0,0,302.835,1
0,658.473,6273.115,1510.05,861.804,648.246,0,86.881,70.891,32.343,365.73,0,115.471,448.036,110.974,287.014,419.691,0,0,0,0,0,0,0,0,409.873,3
3885.716,1442.447,3681.951,848.93,848.93,0,915.277,66.393,68.738,122.829,1558.522,196.174,1882.21,1131.317,224.209,68.851,74.672,71.89,0,544.924,0,121.372,0,0,0,700.461,1
7409.889,934.276,0,485.797,485.797,0,555.158,0,59.69,64.269,0,269.783,1238.997,649.543,291.339,36.473,558.198,0,0,89.805,0,0,0,0,0,767.595,2
1814.086,682.187,0,433.828,433.828,0,449.418,389.327,138.226,16.006,487.552,37.382,1473.076,649.623,312.773,36.364,344.796,0,0,0,0,224.733,0,0,0,1292.753,1
